2022-01-15 22:30:04,624 args = Namespace(batch_size=64, data='./data', epochs=5, learning_rate=0.025, save='logs', seed=2, weight_decay=0.0003)
2022-01-15 22:30:05,947 param size = 0.046234MB
2022-01-15 22:30:05,948 Starting epoch 1/5
2022-01-15 23:07:11,452 args = Namespace(batch_size=64, data='./data', epochs=5, learning_rate=0.025, save='logs', seed=2, weight_decay=0.0003)
2022-01-15 23:07:12,724 param size = 0.046234MB
2022-01-15 23:07:12,725 Starting epoch 1/5
2022-01-15 23:07:19,802 train mini-batch 000, loss=2.349759e+00 accuracy=3.125000
2022-01-15 23:07:21,138 train mini-batch 001, loss=2.328125e+00 accuracy=6.250000
2022-01-15 23:07:22,354 train mini-batch 002, loss=2.315250e+00 accuracy=9.895833
2022-01-15 23:07:23,594 train mini-batch 003, loss=2.316886e+00 accuracy=9.375000
2022-01-15 23:07:24,897 train mini-batch 004, loss=2.308464e+00 accuracy=10.312500
2022-01-15 23:07:26,208 train mini-batch 005, loss=2.301285e+00 accuracy=11.979167
2022-01-15 23:07:27,535 train mini-batch 006, loss=2.292321e+00 accuracy=13.392857
2022-01-15 23:07:28,760 train mini-batch 007, loss=2.284883e+00 accuracy=13.671875
2022-01-15 23:07:30,030 train mini-batch 008, loss=2.277970e+00 accuracy=14.409722
2022-01-15 23:07:31,358 train mini-batch 009, loss=2.267691e+00 accuracy=15.468750
2022-01-15 23:07:32,580 train mini-batch 010, loss=2.264862e+00 accuracy=15.056818
2022-01-15 23:07:33,815 train mini-batch 011, loss=2.260972e+00 accuracy=14.843750
2022-01-15 23:07:35,099 train mini-batch 012, loss=2.257517e+00 accuracy=15.264423
2022-01-15 23:07:36,369 train mini-batch 013, loss=2.255003e+00 accuracy=15.178571
2022-01-15 23:07:37,710 train mini-batch 014, loss=2.248829e+00 accuracy=15.833333
2022-01-15 23:07:38,927 train mini-batch 015, loss=2.242169e+00 accuracy=16.015625
2022-01-15 23:07:40,205 train mini-batch 016, loss=2.236355e+00 accuracy=16.544118
2022-01-15 23:07:41,531 train mini-batch 017, loss=2.230067e+00 accuracy=16.927083
2022-01-15 23:07:42,754 train mini-batch 018, loss=2.220910e+00 accuracy=17.516447
2022-01-15 23:07:43,988 train mini-batch 019, loss=2.215349e+00 accuracy=17.968750
2022-01-15 23:07:45,261 train mini-batch 020, loss=2.204132e+00 accuracy=19.047619
2022-01-15 23:07:46,489 train mini-batch 021, loss=2.194062e+00 accuracy=19.815341
2022-01-15 23:07:47,703 train mini-batch 022, loss=2.190909e+00 accuracy=19.769022
2022-01-15 23:07:49,065 train mini-batch 023, loss=2.186019e+00 accuracy=19.856771
2022-01-15 23:07:50,347 train mini-batch 024, loss=2.177062e+00 accuracy=19.937500
2022-01-15 23:07:51,687 train mini-batch 025, loss=2.173092e+00 accuracy=19.891827
2022-01-15 23:07:52,960 train mini-batch 026, loss=2.162093e+00 accuracy=20.312500
